time real imag
2139 -0.9738710678186917 -0.9738710678186917
2140 -0.993008443065723 -0.993008443065723
2141 -0.9999715898043964 -0.9999715898043964
2142 -0.9946751402413943 -0.9946751402413943
2143 -0.9771840285549745 -0.9771840285549745
2144 -0.9477126948055734 -0.9477126948055734
2145 -0.9066224559125239 -0.9066224559125239
2146 -0.8544170759286085 -0.8544170759286085
2147 -0.7917365899207364 -0.7917365899207364
2148 -0.7193494571754554 -0.7193494571754554
2149 -0.6381431399305975 -0.6381431399305975
2150 -0.5491132231375111 -0.5491132231375111
2151 -0.4533512086446581 -0.4533512086446581
2152 -0.3520311334453277 -0.3520311334453277
2153 -0.2463951760492778 -0.2463951760492778
2154 -0.13773842744288534 -0.13773842744288534
2155 -0.02739301334555403 -0.02739301334555403
2156 0.08328823757809833 0.08328823757809833
2157 0.19294837932245337 0.19294837932245337
2158 0.3002429846238718 0.3002429846238718
2159 0.40385662756455754 0.40385662756455754
2160 0.5025190106212826 0.5025190106212826
2161 0.5950205384427465 0.5950205384427465
2162 0.680227147421648 0.680227147421648
2163 0.7570942092515518 0.7570942092515518
2164 0.8246793380121425 0.8246793380121425
2165 0.8821539437684645 0.8821539437684645
2166 0.9288133910374669 0.9288133910374669
2167 0.9640856375801565 0.9640856375801565
2168 0.9875382476076769 0.9875382476076769
2169 0.9988836934201639 0.9988836934201639
2170 0.9979828804803831 0.9979828804803831
2171 0.9848468527050843 0.9848468527050843
2172 0.9596366570671697 0.9596366570671697
2173 0.9226613691687465 0.9226613691687465
2174 0.8743743039913688 0.8743743039913688
2175 0.8153674582794228 0.8153674582794228
2176 0.7463642526928868 0.7463642526928868
2177 0.6682106627101375 0.6682106627101375
2178 0.581864847015373 0.581864847015373
2179 0.48838540052619445 0.48838540052619445
2180 0.38891837607869617 0.38891837607869617
2181 0.28468323388298594 0.28468323388298594
2182 0.17695789100872986 0.17695789100872986
2183 0.06706305419259136 0.06706305419259136
2184 -0.04365397195329357 -0.04365397195329357
2185 -0.15383580282106377 -0.15383580282106377
2186 -0.26213161526732337 -0.26213161526732337
2187 -0.36721370863013886 -0.36721370863013886
2188 -0.4677937822654706 -0.4677937822654706
2189 -0.5626387300417183 -0.5626387300417183
2190 -0.6505857581526967 -0.6505857581526967
2191 -0.7305566409052751 -0.7305566409052751
2192 -0.8015709397065421 -0.8015709397065421
2193 -0.8627580231867258 -0.8627580231867258
2194 -0.9133677410915977 -0.9133677410915977
2195 -0.9527796210829448 -0.9527796210829448
2196 -0.980510475695127 -0.980510475695127
2197 -0.99622032618665 -0.99622032618665
2198 -0.9997165706606619 -0.9997165706606619
2199 -0.9909563453535675 -0.9909563453535675
2200 -0.9700470501424064 -0.9700470501424064
2201 -0.9372450318282717 -0.9372450318282717
2202 -0.8929524413387651 -0.8929524413387651
2203 -0.8377123033798971 -0.8377123033798971
2204 -0.7722018589832145 -0.7722018589832145
2205 -0.697224262568351 -0.697224262568351
2206 -0.6136987353142992 -0.6136987353142992
2207 -0.5226492955585968 -0.5226492955585968
2208 -0.42519220438935923 -0.42519220438935923
2209 -0.32252228034611247 -0.32252228034611247
2210 -0.21589825101056717 -0.21589825101056717
2211 -0.10662732107645698 -0.10662732107645698
2212 0.003950853907839236 0.003950853907839236
2213 0.11448059164209494 0.11448059164209494
2214 0.22360680366400118 0.22360680366400118
2215 0.32999160865874133 0.32999160865874133
2216 0.4323307348098841 0.4323307348098841
2217 0.5293695100994448 0.5293695100994448
2218 0.6199182445174157 0.6199182445174157
2219 0.7028668155954548 0.7028668155954548
2220 0.7771982784467167 0.7771982784467167
2221 0.8420013334539468 0.8420013334539468
2222 0.8964814987522098 0.8964814987522098
2223 0.9399708505327002 0.9399708505327002
2224 0.971936211751488 0.971936211751488
2225 0.9919856888506172 0.9919856888506172
2226 0.9998734763514214 0.9998734763514214
2227 0.9955028704160456 0.9955028704160456
2228 0.9789274544311715 0.9789274544311715
2229 0.9503504420786381 0.9503504420786381
2230 0.9101221859469836 0.9101221859469836
2231 0.8587358822281177 0.8587358822281177
2232 0.7968215241592567 0.7968215241592567
2233 0.7251381783408765 0.7251381783408765
2234 0.6445646786220911 0.6445646786220911
2235 0.556088851646438 0.556088851646438
2236 0.4607954061518379 0.4607954061518379
2237 0.35985263450168703 0.35985263450168703
2238 0.2544980894851331 0.2544980894851331
2239 0.1460234119883423 0.1460234119883423
